,ID,latitude,longitude,location,timestamp,magnitude,depth
5054,knmi1989zomn,51.61083,7.706666,Kamen (Duitsland),1989-12-30 17:37:40,2.1,1.0
5055,knmi1989ygvt,51.60383,7.708333,Kamen (Duitsland),1989-12-12 07:39:23,1.8,1.1
5056,knmi1989xrpn,51.57417,7.688334,Kamen (Duitsland),1989-12-03 23:29:09,1.9,1.0
5057,knmi1989xntx,52.5293,4.9705,Kwadijk,1989-12-01 21:09:16,2.7,1.2
5058,knmi1989wygi,51.5965,7.628334,Bergkamen (Duitsland),1989-11-23 09:15:22,2.1,1.0
5059,knmi1989wqhk,51.60517,7.591667,Bergkamen (Duitsland),1989-11-19 00:42:36,2.0,1.0
5060,knmi1989uzzi,51.50667,6.401667,Issum (Duitsland),1989-10-26 21:54:12,2.2,1.0
5061,knmi1989uzwi,51.66417,7.618333,Werne (Duitsland),1989-10-26 20:24:07,2.4,1.0
5062,knmi1989umuh,51.60733,6.893333,Bottrop (Duitsland),1989-10-19 16:36:15,2.2,1.0
5063,knmi1989tima,51.548,7.141667,Herne (Duitsland),1989-10-03 02:20:38,1.8,1.0
5064,knmi1989tbgt,51.61283,7.67,Bergkamen (Duitsland),1989-09-29 03:43:09,2.4,1.0
5065,knmi1989rmcp,51.61167,7.898334,Hamm (Duitsland),1989-09-06 15:02:38,2.0,1.0
5066,knmi1989rcwy,50.4235,6.12,Weismes (België),1989-09-01 13:58:20,1.9,3.6
5067,knmi1989pfxd,51.33833,6.33,Grefrath (Duitsland),1989-08-05 18:24:56,2.0,13.3
5068,knmi1989pcwt,51.6235,7.601666,Bergkamen (Duitsland),1989-08-04 02:47:42,2.7,1.0
5069,knmi1989ombf,51.613,7.878334,Hamm (Duitsland),1989-07-25 21:45:16,2.0,1.0
5070,knmi1989mtgd,50.70367,7.971667,Friedewald (Duitsland),1989-07-01 09:06:22,2.2,11.5
5071,knmi1989luva,50.3725,7.358333,Plaidt (Duitsland),1989-06-18 00:13:37,2.5,11.2
5072,knmi1989lsmj,50.86617,6.206666,Alsdorf (Duitsland),1989-06-16 17:35:29,2.1,10.3
5073,knmi1989krbp,51.6185,7.723333,Bönen (Duitsland),1989-06-01 17:28:40,1.9,1.0
5074,knmi1989jtgj,50.67467,5.556667,Luik (België),1989-05-19 16:37:21,2.1,28.0
5075,knmi1989jnwv,51.51917,6.456666,Kamp-Lintfort (Duitsland),1989-05-16 18:07:37,2.4,1.0
5076,knmi1989inwy,50.8895,6.753334,Frechen (Duitsland),1989-05-02 12:39:12,2.0,2.0
5077,knmi1989huaf,51.56333,7.53,Dortmund (Duitsland),1989-04-21 15:34:49,2.1,1.0
5078,knmi1989hbvl,50.45083,6.116667,Weismes (België),1989-04-11 16:43:06,2.0,17.3
5079,knmi1989gwmq,51.50083,7.291667,Bochum (Duitsland),1989-04-08 18:34:58,1.8,1.0
5080,knmi1989felu,49.832,8.001667,Gau-Bickelheim (Duitsland),1989-03-15 15:10:27,2.7,5.1
5081,knmi1989erfx,50.9265,6.463333,Niederzier (Duitsland),1989-03-08 09:26:07,2.1,2.2
5082,knmi1989ejrn,51.6895,7.69,Werne (Duitsland),1989-03-04 06:13:32,2.1,1.0
5083,knmi1989dcaj,51.5875,7.725,Kamen (Duitsland),1989-02-13 20:03:17,2.2,1.0
5084,knmi1989bulr,51.03,5.996666,Gangelt (Duitsland),1989-01-26 11:09:00,2.825562954,10.9
5085,knmi1989bblb,50.928,6.143333,Übach-Palenberg (Duitsland),1989-01-16 01:15:16,2.1,2.1
5086,knmi1989aona,50.6645,7.948333,Lautzenbrücken (Duitsland),1989-01-08 23:28:39,2.2,10.5
5087,knmi1989ajjt,51.7535,8.048333,Beckum (Duitsland),1989-01-06 04:09:19,2.5,1.0
5088,knmi1988zorp,50.94467,6.618333,Bergheim (Duitsland),1988-12-29 20:11:21,2.2,1.0
5089,knmi1988zkmd,50.5325,5.658333,Sprimont (België),1988-12-27 12:53:12,3.5,16.0
5090,knmi1988yhho,50.686,7.171667,Bonn (Duitsland),1988-12-11 13:38:06,2.1,12.6
5091,knmi1988xsqg,51.776,7.745,Drensteinfurt (Duitsland),1988-12-03 12:58:33,2.2,1.0
5092,knmi1988xlyy,51.596,6.505,Alpen (Duitsland),1988-11-29 21:25:44,2.2,1.0
5093,knmi1988xjgf,50.67533,7.106667,Bonn (Duitsland),1988-11-28 09:41:13,2.1,2.7
5094,knmi1988uliv,50.81283,5.921667,Wittem,1988-10-17 21:39:54,3.5,22.5
5095,knmi1988tiyr,51.64767,7.165,Marl (Duitsland),1988-10-02 08:44:10,2.2,1.0
5096,knmi1988sbdj,50.93517,6.463333,Niederzier (Duitsland),1988-09-13 20:29:20,2.1,6.7
5097,knmi1988qfgd,50.39067,7.371666,Kretz (Duitsland),1988-08-18 15:21:37,2.3,9.6
5098,knmi1988pssm,50.41917,6.066667,Malmedy (België),1988-08-11 18:49:24,3.1,3.1
5099,knmi1988pdrv,51.49683,6.675,Duisburg (Duitsland),1988-08-03 13:27:39,1.9,1.0
5100,knmi1988ogfi,51.81417,7.908333,Ahlen (Duitsland),1988-07-21 17:00:54,2.9,1.0
5101,knmi1988nipn,51.5545,6.6,Rheinberg (Duitsland),1988-07-08 18:53:48,2.0,1.0
5102,knmi1988mroq,50.35817,7.375,Ochtendung (Duitsland),1988-06-29 11:07:56,2.1,12.0
5103,knmi1988mrnj,50.35983,7.375,Ochtendung (Duitsland),1988-06-29 10:29:21,2.1,12.7
5104,knmi1988lxoy,51.5725,7.198333,Recklinghausen (Duitsland),1988-06-18 12:33:54,2.3,1.0
5105,knmi1988lrnn,51.384,4.26,Rilland,1988-06-15 05:02:43,2.1,3.1
5106,knmi1988lebx,51.655,7.588333,Werne (Duitsland),1988-06-07 20:24:08,2.2,1.0
5107,knmi1988lcct,51.58533,6.416667,Sonsbeck (Duitsland),1988-06-06 18:32:46,2.3,1.0
5108,knmi1988kszh,50.429,5.923333,Stoumont (België),1988-06-01 18:34:34,2.6,6.6
5109,knmi1988ikoz,51.66617,7.098333,Marl (Duitsland),1988-04-29 17:12:57,2.2,1.0
5110,knmi1988hkrg,54.11083,6.331666,Noordzee,1988-04-15 12:49:35,3.7,10.0
5111,knmi1988gjca,50.999,6.643333,Bedburg (Duitsland),1988-03-31 10:27:13,2.0,1.0
5112,knmi1988frzb,51.673,7.918334,Hamm (Duitsland),1988-03-22 00:39:03,2.3,1.0
5113,knmi1988fepb,50.34933,7.32,Thür (Duitsland),1988-03-14 16:49:52,2.7,10.0
5114,knmi1988drpk,51.12366,6.35,Wegberg (Duitsland),1988-02-22 08:41:33,2.7,14.8
5115,knmi1988droz,51.14734,6.32,Mönchengladbach (Duitsland),1988-02-22 08:29:23,2.1,14.6
5116,knmi1988ddri,50.69083,5.648334,Oupeye (België),1988-02-14 17:46:05,2.0,9.9
5117,knmi1988bxee,51.51733,6.653333,Rheinberg (Duitsland),1988-01-27 22:46:26,2.3,1.0
5118,knmi1988bjca,51.56933,7.206666,Recklinghausen (Duitsland),1988-01-20 05:47:12,2.1,1.0
5119,knmi1988ayoi,51.74667,7.82,Ahlen (Duitsland),1988-01-14 11:29:43,2.8,1.0
5120,knmi1988aolm,50.97483,6.648334,Bergheim (Duitsland),1988-01-08 22:42:04,1.9,1.0
5121,knmi1987yqka,50.13733,6.083333,Weiswampach (Luxemburg),1987-12-17 13:05:28,2.1,10.0
5122,knmi1987ylou,52.9283,6.5517,Hooghalen,1987-12-14 21:49:48,2.5,1.5
5123,knmi1987ybtg,50.26967,7.405,Kalt (Duitsland),1987-12-09 12:43:44,1.5,0.9
5124,knmi1987xvxb,50.37667,7.34,Kruft (Duitsland),1987-12-06 07:49:59,1.9,3.1
5125,knmi1987wtbb,50.673,7.961667,Lautzenbrücken (Duitsland),1987-11-20 12:53:52,2.0,15.1
5126,knmi1987vfrg,51.90767,7.461667,Senden (Duitsland),1987-10-29 23:38:27,2.3,1.0
5127,knmi1987uajq,50.741,6.745,Erftstadt (Duitsland),1987-10-12 21:35:33,1.9,3.0
5128,knmi1987tgox,51.08783,5.91,Echt,1987-10-02 01:31:56,2.1,7.8
5129,knmi1987smfq,50.97417,5.538333,Genk (België),1987-09-20 22:07:49,1.5,6.1
5130,knmi1987mehv,51.5895,6.941667,Bottrop (Duitsland),1987-06-23 04:55:42,3.2,1.0
5131,knmi1987lkxa,49.60783,8.04,Marnheim (Duitsland),1987-06-12 13:52:56,3.0,13.1
5132,knmi1987liwa,51.4985,6.521667,Kamp-Lintfort (Duitsland),1987-06-11 11:06:47,2.5,1.0
5133,knmi1987jlyo,50.427,6.138333,Weismes (België),1987-05-15 16:43:04,2.2,10.0
5134,knmi1987jdcj,51.76783,7.7,Ascheberg (Duitsland),1987-05-10 20:25:40,2.4,1.0
5135,knmi1987ijno,51.662,7.696667,Hamm (Duitsland),1987-04-30 03:21:19,2.3,1.0
5136,knmi1987hjnx,51.48283,6.495,Kamp-Lintfort (Duitsland),1987-04-15 22:00:03,1.8,1.0
5137,knmi1987gpwg,51.52117,7.783333,Fröndenberg (Duitsland),1987-04-05 03:29:13,2.2,1.0
5138,knmi1987gnab,50.17467,6.601666,Birresborn (Duitsland),1987-04-03 14:00:15,2.2,2.1
5139,knmi1987giyp,50.3975,3.846667,Colfontaine (België),1987-04-01 08:43:52,3.1,2.1
5140,knmi1987gdjq,51.63367,7.276667,Oer-Erkenschwick (Duitsland),1987-03-29 07:30:00,2.1,1.0
5141,knmi1987fxgm,51.63467,8.141666,Lippetal (Duitsland),1987-03-25 22:04:32,2.5,1.0
5142,knmi1987frtz,50.41667,3.876667,Frameries (België),1987-03-22 22:05:36,2.5,3.7
5143,knmi1987fpma,50.3755,3.935,Quévy (België),1987-03-21 15:47:26,2.6,4.4
5144,knmi1987evrq,51.48533,6.498333,Kamp-Lintfort (Duitsland),1987-03-10 19:54:43,2.3,1.0
5145,knmi1987duqp,51.76317,8.03,Beckum (Duitsland),1987-02-24 00:42:13,2.4,1.0
5146,knmi1987dqij,50.2995,3.866667,La Longueville (Frankrijk),1987-02-21 16:00:49,2.5,4.4
5147,knmi1986zgna,52.9917,6.5483,Assen,1986-12-26 08:47:51,2.8,1.0
5148,knmi1986xzwa,49.44933,5.99,Ottange (Frankrijk),1986-12-08 11:50:44,2.2,5.0
5149,knmi1986xnbx,50.60467,5.296667,Verlaine (België),1986-12-01 12:03:24,2.0,0.1
5150,knmi1986vbwi,50.39233,7.385,Plaidt (Duitsland),1986-10-27 21:40:06,2.0,3.4
5151,knmi1986vbun,50.98333,5.495,Genk (België),1986-10-27 20:45:19,2.4,2.2
5152,knmi1986tgqu,51.42617,6.615,Moers (Duitsland),1986-10-02 02:28:35,2.0,1.7
5153,knmi1986surm,51.66983,7.831666,Hamm (Duitsland),1986-09-25 13:11:37,2.9,1.0
5154,knmi1986rnqx,53.91767,3.131667,Noordzee,1986-09-07 11:24:49,3.2,27.9
5155,knmi1986rgsn,50.42683,6.145,Weismes (België),1986-09-03 16:16:45,1.8,7.3
5156,knmi1986rfua,50.13467,6.276667,Üttfeld (Duitsland),1986-09-03 03:54:25,2.4,3.5
5157,knmi1986knyq,51.7615,7.765,Drensteinfurt (Duitsland),1986-05-31 00:34:20,2.7,1.0
5158,knmi1986kfwd,50.614,5.525,Seraing (België),1986-05-26 14:13:52,1.5,5.3
5159,knmi1986iwkd,51.578,7.18,Recklinghausen (Duitsland),1986-05-07 04:23:56,1.7,1.0
5160,knmi1986hnph,51.4865,6.838333,Oberhausen (Duitsland),1986-04-18 03:14:25,1.9,1.0
5161,knmi1986hnbw,51.55917,6.938334,Gladbeck (Duitsland),1986-04-17 20:27:24,1.4,1.0
5162,knmi1986hhdo,50.93833,6.655,Bergheim (Duitsland),1986-04-14 14:30:28,2.4,1.0
5163,knmi1986gyei,49.53717,7.925,Sippersfeld (Duitsland),1986-04-09 16:40:14,2.9,3.1
5164,knmi1986gppt,51.69267,7.333333,Datteln (Duitsland),1986-04-05 00:12:47,1.6,1.0
5165,knmi1986gpne,51.643,7.908333,Hamm (Duitsland),1986-04-04 22:54:16,2.6,1.0
5166,knmi1986fqhu,51.63783,6.833333,Hünxe (Duitsland),1986-03-22 02:47:47,1.9,1.0
5167,knmi1986euya,51.4865,6.703333,Duisburg (Duitsland),1986-03-10 09:59:56,2.1,0.1
5168,knmi1986efmh,51.6145,7.158333,Herten (Duitsland),1986-03-01 23:01:58,2.2,1.0
5169,knmi1986eduk,51.565,7.206666,Recklinghausen (Duitsland),1986-03-01 00:51:11,2.3,1.0
5170,knmi1986cvck,51.85533,7.681667,Drensteinfurt (Duitsland),1986-02-10 01:08:44,2.0,1.0
5171,knmi1986ajou,50.88267,5.928333,Voerendaal,1986-01-06 06:42:15,2.4,2.3
5172,knmi1985zjor,51.64367,6.268333,Kevelaer (Duitsland),1985-12-28 01:01:50,2.0,1.0
5173,knmi1985ynzo,50.37867,7.415,Saffig (Duitsland),1985-12-16 05:32:21,2.1,10.0
5174,knmi1985ynxb,51.7265,7.641667,Ascheberg (Duitsland),1985-12-16 04:17:05,2.6,1.0
5175,knmi1985ybru,50.90733,5.968333,Heerlen,1985-12-09 11:59:24,1.5,3.6
5176,knmi1985ybrs,50.88317,5.931667,Voerendaal,1985-12-09 11:56:48,2.2,8.1
5177,knmi1985xyzd,50.88433,5.938334,Voerendaal,1985-12-08 00:17:19,1.4,5.1
5178,knmi1985xyyw,50.87883,5.941667,Voerendaal,1985-12-08 00:09:25,3.0,5.0
5179,knmi1985xyye,50.88417,5.933333,Voerendaal,1985-12-07 23:47:21,2.3,5.6
5180,knmi1985xyyd,50.88083,5.946667,Voerendaal,1985-12-07 23:47:02,2.7,5.0
5181,knmi1985xyvr,50.88467,5.931667,Voerendaal,1985-12-07 22:32:17,1.5,5.4
5182,knmi1985xyvn,50.88483,5.933333,Voerendaal,1985-12-07 22:27:09,1.6,5.6
5183,knmi1985xuti,51.07883,5.725,Maaseik (België),1985-12-05 16:48:44,1.7,10.2
5184,knmi1985vvnw,50.3045,5.598333,Érezée (België),1985-11-07 16:07:24,1.415176868,10.0
5185,knmi1985tpun,51.54833,6.855,Oberhausen (Duitsland),1985-10-07 02:35:29,1.5,1.0
5186,knmi1985tiok,51.31816,6.566667,Krefeld (Duitsland),1985-10-03 03:32:55,2.0,1.0
5187,knmi1985sefj,50.12583,5.483333,Tenneville (België),1985-09-16 12:54:29,2.2,2.0
5188,knmi1985qnvj,50.266,8.003333,Allendorf (Duitsland),1985-08-24 08:08:40,3.8,13.4
5189,knmi1985qcak,50.9055,6.155,Baesweiler (Duitsland),1985-08-17 21:02:31,2.4,2.1
5190,knmi1985nunp,50.82217,5.531667,Bilzen (België),1985-07-16 07:33:50,3.3,3.4
5191,knmi1985nnzj,49.998,7.401667,Reckershausen (Duitsland),1985-07-12 17:33:09,3.1,14.4
5192,knmi1985knaa,50.175,5.41,Marche-en-Famenne (België),1985-05-30 12:08:33,2.7,15.0
5193,knmi1985jhab,50.4475,6.106667,Weismes (België),1985-05-12 23:47:51,2.7,4.2
5194,knmi1985ituw,51.70117,7.683333,Werne (Duitsland),1985-05-05 18:24:26,2.8,1.0
5195,knmi1985azxq,50.38667,7.346667,Kruft (Duitsland),1985-01-15 05:20:58,2.0,10.6
5196,knmi1984wogx,49.52917,7.148334,Namborn (Duitsland),1984-11-16 22:10:41,2.7,3.9
5197,knmi1984sguj,50.982,6.643333,Bergheim (Duitsland),1984-09-16 22:45:05,2.1,1.0
5198,knmi1984rsxg,51.66667,7.771667,Hamm (Duitsland),1984-09-09 08:17:44,3.1,1.0
5199,knmi1984raiy,50.10767,8.291667,Wiesbaden (Duitsland),1984-08-30 04:38:10,2.2,10.1
5200,knmi1984qjnf,50.8715,6.881667,Hürth (Duitsland),1984-08-20 23:28:37,2.0,14.7
5201,knmi1984nyoq,49.90717,5.215,Bertrix (België),1984-07-17 12:37:26,2.5,3.7
5202,knmi1984nkxt,50.816,5.406667,Kortessem (België),1984-07-10 01:19:01,3.6,3.0
5203,knmi1984ndgo,50.65267,7.896667,Unnau (Duitsland),1984-07-05 20:40:56,2.5,3.9
5204,knmi1984kkhs,50.9,5.86,Wijnandsrade,1984-05-28 00:36:58,1.5,3.0
5205,knmi1984inyr,50.5615,5.56,Esneux (België),1984-05-01 13:31:19,2.0,2.9
5206,knmi1984ihju,50.67933,8.053333,Stein-Neukirch (Duitsland),1984-04-27 23:11:04,2.0,2.0
5207,knmi1984igtq,50.68133,8.016666,Hof (Duitsland),1984-04-27 15:01:45,2.0,12.5
5208,knmi1984eqgx,51.4015,6.48,Kempen (Duitsland),1984-03-06 20:48:21,2.3,1.0
5209,knmi1984bdau,51.69467,7.75,Hamm (Duitsland),1984-01-16 22:20:00,2.4,1.0
5210,knmi1983yhkx,49.88167,5.071667,Paliseul (België),1983-12-12 15:18:45,2.9,3.1
5211,knmi1983xnxi,50.63867,5.535,Sint-Niklaas (België),1983-12-01 22:52:49,2.7,26.5
5212,knmi1983wstl,50.635,5.518,Sint-Niklaas (België),1983-11-20 09:03:25,2.4,5.0
5213,knmi1983wqeq,50.56816,7.273334,Linz am Rhein (Duitsland),1983-11-18 23:18:25,2.7,2.3
5214,knmi1983wqax,50.5875,7.285,Kasbach-Ohlenberg (Duitsland),1983-11-18 21:25:41,2.0,7.1
5215,knmi1983vwjw,50.61433,5.523334,Seraing (België),1983-11-08 03:13:22,3.4,4.5
5216,knmi1983vwig,50.63417,5.53,Sint-Niklaas (België),1983-11-08 02:24:54,2.9,2.1
5217,knmi1983vwhc,50.62817,5.51,Sint-Niklaas (België),1983-11-08 01:49:34,5.0,3.4
5218,knmi1983tzzr,49.85517,5.365,Neufchâteau (België),1983-10-12 16:32:59,3.0,3.2
5219,knmi1983ssth,51.07617,5.731667,Dilsen-Stokkem (België),1983-09-24 11:49:59,3.3,9.9
5220,knmi1983rbft,50.17033,5.463333,Marche-en-Famenne (België),1983-08-31 16:08:37,3.1,11.9
5221,knmi1983pzuc,49.90017,5.226666,Bertrix (België),1983-08-16 15:35:31,3.1,3.3
5222,knmi1983pmbs,50.353,4.586667,Mettet (België),1983-08-09 03:32:37,3.3,3.9
5223,knmi1983pdjh,50.39117,4.536667,Châtelet (België),1983-08-04 09:08:26,3.2,6.6
5224,knmi1983nyoa,50.6955,8.008333,Derschen (Duitsland),1983-07-18 12:19:03,2.2,4.9
5225,knmi1983nyna,50.2685,7.766667,Dessighofen (Duitsland),1983-07-18 11:48:18,2.1,15.0
5226,knmi1983ncur,50.1715,5.468333,Marche-en-Famenne (België),1983-07-06 14:41:00,2.8,14.2
5227,knmi1983meux,51.62017,7.146667,Herten (Duitsland),1983-06-23 11:31:51,2.8,1.0
5228,knmi1983lsjs,51.46883,7.071667,Essen (Duitsland),1983-06-16 16:15:26,2.3,1.0
5229,knmi1983knep,50.96617,6.621666,Bergheim (Duitsland),1983-05-30 14:26:55,1.8,1.0
5230,knmi1983jkkz,51.76,8.005,Beckum (Duitsland),1983-05-14 20:43:55,3.1,1.0
5231,knmi1983jcaf,51.48583,7.085,Gelsenkirchen (Duitsland),1983-05-10 06:12:07,2.6,1.0
5232,knmi1983ixdk,50.37317,7.38,Plaidt (Duitsland),1983-05-07 14:08:37,3.4,3.5
5233,knmi1983igrf,51.55433,6.868333,Bottrop (Duitsland),1983-04-28 13:48:10,2.1,1.0
5234,knmi1983fqtg,50.36833,7.388333,Ochtendung (Duitsland),1983-03-22 08:34:33,2.7,10.7
5235,knmi1983fqsx,50.3785,7.39,Plaidt (Duitsland),1983-03-22 08:24:32,3.2,10.6
5236,knmi1983fqsu,50.3925,7.418334,Andernach (Duitsland),1983-03-22 08:20:26,2.8,3.1
5237,knmi1983fqpz,51.57667,7.073333,Gelsenkirchen (Duitsland),1983-03-22 06:55:49,2.5,1.0
5238,knmi1983ctpn,51.51083,7.545,Dortmund (Duitsland),1983-02-09 05:30:08,2.2,1.0
5239,knmi1983cmoe,51.36983,5.541667,Heeze,1983-02-05 08:51:17,2.220860481,6.2
5240,knmi1982xupd,50.69233,8.19,Breitscheid (Duitsland),1982-12-05 14:41:38,2.9,4.8
5241,knmi1982xqgr,51.74717,7.873333,Ahlen (Duitsland),1982-12-03 05:52:04,2.3,1.0
5242,knmi1982vlfu,50.635,7.908333,Nistertal (Duitsland),1982-11-02 00:40:35,2.1,1.3
5243,knmi1982vkyn,50.6385,7.935,Bad Marienberg (Duitsland),1982-11-01 21:00:16,2.0,2.1
5244,knmi1982sdww,51.61183,7.643333,Bergkamen (Duitsland),1982-09-16 08:36:03,2.8,1.0
5245,knmi1982sbfj,50.44183,4.326667,Fontaine-l'Évêque (België),1982-09-14 21:29:10,2.6,5.0
5246,knmi1982sbff,50.4375,4.176667,Binche (België),1982-09-14 21:24:34,3.4,2.0
5247,knmi1982qolg,51.599,7.655,Kamen (Duitsland),1982-08-24 16:09:13,2.6,1.0
